aeg [s]	 asukoht [m]	 kiirus [km/h]	 kiirusepiirang [km/h]
0.0	0.0	0.0	25.0
0.1	0.03	0.0	25.0
0.2	0.09	1.04	25.0
0.3	0.17	2.09	25.0
0.4	0.29	3.13	25.0
0.5	0.43	4.18	25.0
0.6	0.61	5.22	25.0
0.7	0.81	6.26	25.0
0.8	1.04	7.31	25.0
0.9	1.31	8.35	25.0
1.0	1.6	9.4	25.0
1.1	1.91	10.44	25.0
1.2	2.26	11.48	25.0
1.3	2.64	12.53	25.0
1.4	3.05	13.57	25.0
1.5	3.48	14.62	25.0
1.6	3.94	15.66	25.0
1.7	4.44	16.7	25.0
1.8	4.96	17.75	25.0
1.9	5.51	18.79	25.0
2.0	6.09	19.84	25.0
2.1	6.7	20.88	25.0
2.2	7.34	21.92	25.0
2.3	8.0	22.97	25.0
2.4	8.7	24.01	25.0
2.5	9.4	25.06	25.0
2.6	10.09	25.06	25.0
2.7	10.79	25.06	25.0
2.8	11.48	25.06	25.0
2.9	12.18	25.06	25.0
3.0	12.88	25.06	25.0
3.1	13.57	25.06	25.0
3.2	14.27	25.06	25.0
3.3	14.96	25.06	25.0
3.4	15.66	25.06	25.0
3.5	16.36	25.06	25.0
3.6	17.05	25.06	25.0
3.7	17.75	25.06	25.0
3.8	18.44	25.06	25.0
3.9	19.14	25.06	25.0
4.0	19.84	25.06	25.0
4.1	20.53	25.06	25.0
4.2	21.23	25.06	25.0
4.3	21.92	25.06	25.0
4.4	22.62	25.06	25.0
4.5	23.32	25.06	25.0
4.6	24.01	25.06	25.0
4.7	24.71	25.06	25.0
4.8	25.4	25.06	25.0
4.9	26.1	25.06	25.0
5.0	26.8	25.06	25.0
5.1	27.49	25.06	25.0
5.2	28.19	25.06	25.0
5.3	28.88	25.06	25.0
5.4	29.58	25.06	25.0
5.5	30.28	25.06	25.0
5.6	30.97	25.06	25.0
5.7	31.67	25.06	25.0
5.8	32.36	25.06	25.0
5.9	33.06	25.06	25.0
6.0	33.76	25.06	25.0
6.1	34.45	25.06	25.0
6.2	35.15	25.06	25.0
6.3	35.84	25.06	25.0
6.4	36.54	25.06	25.0
6.5	37.24	25.06	25.0
6.6	37.93	25.06	25.0
6.7	38.63	25.06	25.0
6.8	39.32	25.06	25.0
6.9	40.02	25.06	25.0
7.0	40.72	25.06	25.0
7.1	41.41	25.06	25.0
7.2	42.11	25.06	25.0
7.3	42.8	25.06	25.0
7.4	43.5	25.06	25.0
7.5	44.2	25.06	25.0
7.6	44.89	25.06	25.0
7.7	45.59	25.06	25.0
7.8	46.28	25.06	25.0
7.9	46.98	25.06	25.0
8.0	47.68	25.06	25.0
8.1	48.37	25.06	25.0
8.2	49.07	25.06	25.0
8.3	49.76	25.06	25.0
8.4	50.46	25.06	25.0
8.5	51.16	25.06	25.0
8.6	51.85	25.06	25.0
8.7	52.55	25.06	25.0
8.8	53.24	25.06	25.0
8.9	53.94	25.06	25.0
9.0	54.64	25.06	25.0
9.1	55.33	25.06	25.0
9.2	56.03	25.06	25.0
9.3	56.72	25.06	25.0
9.4	57.42	25.06	25.0
9.5	58.12	25.06	25.0
9.6	58.81	25.06	25.0
9.7	59.51	25.06	25.0
9.8	60.2	25.06	25.0
9.9	60.9	25.06	25.0
10.0	61.6	25.06	25.0
10.1	62.29	25.06	25.0
10.2	62.99	25.06	25.0
10.3	63.68	25.06	25.0
10.4	64.38	25.06	25.0
10.5	65.08	25.06	25.0
