aeg [s]	 asukoht [m]	 kiirus [km/h]	 kiirusepiirang [km/h]
0	0.0	1.043999999999961	25
1	0.028999999999998916	2.0879999999993717	25
2	0.08699999999998145	3.1319999999991035	25
3	0.17399999999995655	4.175999999998715	25
4	0.2899999999999209	5.219999999998706	25
5	0.4349999999998849	6.263999999998637	25
6	0.608999999999847	7.307999999998538	25
7	0.8119999999998064	8.351999999998538	25
8	1.0439999999997658	9.395999999998478	25
9	1.3049999999997235	10.43999999999843	25
10	1.59499999999968	11.48399999999843	25
11	1.9139999999996364	12.52799999992145	25
12	2.2619999999974545	13.571999999921442	25
13	2.6389999999952725	14.615999999921431	25
14	3.04499999999309	15.659999999921425	25
15	3.4799999999909073	16.703999999921265	25
16	3.94399999998872	17.747999999921262	25
17	4.436999999986533	18.791999999921245	25
18	4.9589999999843455	19.835998720751245	25
19	5.509999964449658	20.879998720751225	25
20	6.0899999289149696	21.923815672730125	25
21	6.698994808713029	22.9677185761047	25
22	7.336986991382604	24.00910033612933	25
23	8.003906445163974	24.999435383559995	25
24	8.698335205818418	24.940895108565858	25
25	9.391137847723027	24.906348742163097	25
26	10.082980868338668	24.999206501802192	25
27	10.777403271166506	24.998197880540417	25
28	11.471797656737072	25.000275430475607	25
29	12.166249752028062	24.999975646178235	25
30	12.860693519977458	24.99973622751526	25
31	13.555130637408437	24.999634863926808	25
32	14.249564939184182	24.999533499959398	25
33	14.943996425294166	24.999420914593756	25
34	15.638424784032882	24.99941460017858	25
35	16.332852967371174	24.999408268139238	25
36	17.027280974819487	24.99940192249513	25
37	17.721708805999906	24.999395565709683	25
38	18.416136460602953	24.999389199357985	25
39	19.110563938362898	24.999382824829603	25
40	19.804991239052608	24.999376443346467	25
41	20.4994183624789	24.99937005597905	25
42	21.193845308478316	24.999363663643262	25
43	21.888272076912852	24.999357267083397	25
44	22.58269866766517	24.99935086695449	25
45	23.27712508063613	24.99934446383029	25
46	23.971551315742527	24.999338058261454	25
47	24.665977372916455	24.999331650781468	25
48	25.360403252104827	24.999325242013306	25
49	26.054828953271866	24.999318832175263	25
50	26.749254476387843	24.99931242145538	25
51	27.44367982142827	24.999306010014536	25
52	28.13810498837312	24.999299597989413	25
53	28.832529977206157	24.99929318549541	25
54	29.526954787914363	24.999286772628945	25
55	30.221379420487388	24.999280359469854	25
56	30.915803874917106	24.999273946083576	25
57	31.610228151197205	24.999267532522328	25
58	32.30465224932283	24.99926111881526	25
59	32.99907616928992	24.999254704985393	25
60	33.693499911095074	24.999248291043923	25
61	34.38792347473518	24.999241876990858	25
62	35.08234686020715	24.999235462826192	25
63	35.77677006750788	24.999229048549925	25
64	36.471193096634266	24.999222634162702	25
65	37.16561594758323	24.999216219673762	25
66	37.86003862035194	24.999209805092345	25
67	38.554461114937844	24.999203390427684	25
68	39.24888343133861	24.99919697568902	25
69	39.943305569552194	24.999190560885594	25
70	40.63772752957679	24.999184146026643	25
71	41.332149311410866	24.999177731121403	25
72	42.02657091505313	24.999171316179112	25
73	42.72099234050255	24.999164901209014	25
74	43.41541358775835	24.99915848622034	25
75	44.10983465682003	24.999152071222337	25
76	44.80425554768731	24.99914565622433	25
77	45.49867626036021	24.999139241235945	25
78	46.193096794838986	24.999132826266802	25
79	46.88751715112417	24.99946203500257	25
80	47.58194665209646	24.999722613345774	25
81	48.27638339135607	24.99991424640805	25
82	48.97082545375629	24.999980873722578	25
83	49.665269366915254	24.999986144544334	25
84	50.35971342648593	24.999990955286666	25
85	51.05415761968834	24.999995315327695	25
86	51.748601934003	24.99999923734412	25
87	52.44304635726256	25.0000026856207	25
88	53.13749087630758	25.0000056664835	25
89	53.83193547815434	25.000008189347827	25
90	54.52638015008067	25.00001026606734	25
91	55.22082487969365	25.000011928221447	25
92	55.91526965547758	25.000013173021966	25
93	56.6097144658393	25.00001400776431	25
94	57.30415929938831	25.00001444235377	25
95	57.998604145009246	25.000014487401344	25
96	58.693048991881504	25.000014153632748	25
97	59.387493829482416	25.00001345302884	25
98	60.0819386476221	25.00001239824668	25
99	60.77638343646229	25.000011003029044	25
100	61.47082818654643	25.00000928115018	25
101	62.1652728888006	25.000007246946392	25
102	62.85971753454911	25.000004914898557	25
103	63.554162115518515	25.000002307222378	25
104	64.24860662405247	24.999999472511973	25
105	64.94305105384447	24.99999642287818	25
106	65.63749539892441	24.99999316996539	25
107	66.33193965364568	24.999989724937755	25
108	67.02638381267172	24.999986098465374	25
109	67.72082787096242	24.99998230071257	25
110	68.41527182376	24.999978341327108	25
111	69.10971566657463	24.99997422945286	25
112	69.80415939517054	24.9999699737211	25
113	70.49860300555169	24.999965582269592	25
114	71.19304649394806	24.999961063095835	25
115	71.88748985681184	24.999956424550263	25
116	72.58193309082712	24.999951674577257	25
117	73.27637619289871	24.999946820787997	25
118	73.97081916014282	24.999941870579956	25
119	74.66526198988116	24.999936830910606	25
120	75.35970467962868	24.99993171861735	25
121	76.05414722736805	24.99992653940622	25
122	76.74858963124045	24.999921298602274	25
123	77.44303188953495	24.999916001159324	25
124	78.13747400067827	24.99991068183859	25
125	78.83191596406267	24.999905343149223	25
126	79.52635777915015	24.999899987356592	25
127	80.2207994454656	24.999894616501866	25
128	80.91524096259066	24.999889232413803	25
129	81.60968233015771	24.999883836729246	25
130	82.30412354784464	24.999878430913956	25
131	82.99856461537003	24.99987301627728	25
132	83.69300553248884	24.999867593985517	25
133	84.38744629898844	24.99986216507455	25
134	85.08188691468496	24.99985673045645	25
135	85.77632737941985	24.999851290935798	25
136	86.47076769305696	24.999845847220964	25
137	87.16520785547976	24.999840399933426	25
138	87.85964786658903	24.9998349496146	25
139	88.55408772630055	24.999829496733717	25
140	89.24852743454315	24.999824041665807	25
141	89.94296699125609	24.999818584736087	25
142	90.63740639638765	24.999813126229473	25
143	91.33184564989402	24.999807666392822	25
144	92.02628475173826	24.99980220544021	25
145	92.72072370188938	24.99979674354572	25
146	93.41516250032122	24.99979128085321	25
147	94.10960114701159	24.999785817487822	25
148	94.8040396419418	24.999780353558354	25
149	95.4984779850962	24.99977488915906	25
150	96.19291617646174	24.999769424370736	25
151	96.88735421602759	24.999763959262417	25
152	97.58179210378488	24.999758493892884	25
153	98.27622983972634	24.999753028311638	25
154	98.97066742384611	24.99974756256014	25
155	99.66510485613945	24.99974209667291	25
156	100.35954213660258	24.99973663067408	25
157	101.05397926523241	24.999731164563652	25
158	101.74841624202585	24.99972569834162	25
159	102.4428530669798	24.99972023200799	25
160	103.13728974009112	24.999714765562768	25
161	103.83172626135675	24.99970929900594	25
162	104.52616263077358	24.999703832337513	25
163	105.22059884833851	24.999698365557485	25
164	105.91503491404845	24.999692898665863	25
165	106.60947082790028	24.99968743166264	25
166	107.30390658989091	24.999681964547815	25
167	107.99834220001725	24.99967649732139	25
168	108.69277765827617	24.999671029983364	25
169	109.3872129646646	24.999665562533743	25
170	110.08164811917942	24.99966009497252	25
171	110.77608312181755	24.9996546272997	25
172	111.47051797257588	24.999649159515872	25
173	112.16495267145132	24.999643691629238	25
174	112.85938721844101	24.999638223648006	25
175	113.55382161354235	24.99963275558037	25
176	114.24825585675292	24.999627287434546	25
177	114.94268994807055	24.99962181921872	25
178	115.63712388749329	24.999616350941107	25
179	116.33155767501943	24.99961088260991	25
180	117.02599131064748	24.999605414233326	25
181	117.72042479437619	24.999562763438128	25
182	118.41485709336058	24.999520112653787	25
183	119.10928820760097	24.99958710314512	25
184	119.80372118268834	24.999643950898832	25
185	120.49815573687997	24.999693872762897	25
186	121.19259167779005	24.999742232892004	25
187	121.88702896203705	24.999789639564682	25
188	122.58146756313607	24.99982520803666	25
189	123.27590715224821	24.999857228608178	25
190	123.97034763082065	24.999884511605664	25
191	124.66478886725415	24.99990687094799	25
192	125.35923072478047	24.999924523752153	25
193	126.05367307266248	24.99993947156839	25
194	126.7481158357616	24.999950318781792	25
195	127.4425589001722	24.999960111133234	25
196	128.13700223659256	24.999967153126647	25
197	128.83144576862387	24.9999730908164	25
198	129.52588946559098	24.999975122226296	25
199	130.22033321898616	24.999976654510288	25
200	130.91477701494478	24.999977711160845	25
201	131.6092208402548	24.99997832107879	25
202	132.303664682507	24.999978504800872	25
203	132.99810852986258	24.999978283278338	25
204	133.69255237106475	24.99997767620822	25
205	134.38699619540387	24.999976702601135	25
206	135.08143999269834	24.99997538131526	25
207	135.77588375329043	24.99997373049276	25
208	136.47032746802634	24.999971767589052	25
209	137.16477112823713	24.999969509348862	25
210	137.85921472571906	24.99996697225141	25
211	138.55365825272605	24.999964172338327	25
212	139.24810170195767	24.999961125111373	25
213	139.94254506654408	24.999957845361408	25
214	140.63698834002633	24.999954347167346	25
215	141.33143151633655	24.99995064390136	25
216	142.02587458977825	24.999946748220992	25
217	142.7203175550066	24.999942672084657	25
218	143.41476040700894	24.999938426736517	25
219	144.10920314108495	24.99993402274155	25
220	144.80364575282778	24.99992946998548	25
221	145.49808823810514	24.999924778058332	25
222	146.1925305930512	24.99991995637586	25
223	146.88697281406164	24.999915014252647	25
224	147.58141489779086	24.999909960675677	25
225	148.27585684114297	24.999904804178	25
226	148.97029864125903	24.999899552791657	25
227	149.66474029550324	24.999894214041895	25
228	150.35918180144884	24.999888801745826	25
229	151.0536231570529	24.99988332213031	25
230	151.7480643604454	24.99987778095994	25
231	152.44250540991652	24.999872183558878	25
232	153.13694630390427	24.999866563154054	25
233	153.83138704176966	24.99986092249357	25
234	154.52582762295003	24.999855264047117	25
235	155.22026804695133	24.999849590029317	25
236	155.91470831334104	24.99984390241832	25
237	156.60914842174154	24.999838202971947	25
238	157.3035883718241	24.999832493255887	25
239	157.99802816330345	24.999826774660615	25
240	158.6924677959329	24.99982104841733	25
241	159.38690726950006	24.999815315612718	25
242	160.08134658382264	24.9998095771984	25
243	160.77578573874482	24.99980383400702	25
244	161.4702247341339	24.999798086766283	25
245	162.1646635698774	24.999792336109618	25
246	162.85910224588045	24.99978658258611	25
247	163.5535407620634	24.99978082665592	25
248	164.24797911835938	24.99977506868871	25
249	164.94241731471183	24.999769309006826	25
250	165.63685535107314	24.999763547889994	25
251	166.33129322740342	24.99975778557819	25
252	167.0257309436695	24.999752022272546	25
253	167.72016849984374	24.999746258131026	25
254	168.41460589590292	24.999740493290744	25
255	169.10904313182766	24.99973472786967	25
256	169.8034802076018	24.999728961969307	25
257	170.49791712321206	24.999723195676314	25
258	171.1923538786475	24.99971742906387	25
259	171.88679047389928	24.999711662193725	25
260	172.58122690896022	24.999705895117422	25
261	173.2756631838246	24.999700127877645	25
262	173.97009929848787	24.999694360509558	25
263	174.66453525294648	24.99968859302987	25
264	175.35897104719731	24.999682825438587	25
265	176.05340668123728	24.999677057735703	25
266	176.74784215506327	24.999671289921217	25
267	177.4422774686722	24.99966552199513	25
268	178.13671262206094	24.99965975395745	25
269	178.83114761522643	24.999653985808166	25
270	179.52558244816555	24.999648217547282	25
271	180.22001712087518	24.999642449174797	25
272	180.91445163335226	24.999636680690717	25
273	181.60888598559367	24.999630912095036	25
274	182.3033201775963	24.999625143387753	25
275	182.99775420935708	24.999619374568876	25
276	183.69218808087288	24.999613605638398	25
277	184.3866217921406	24.999607836121857	25
278	185.081055343144	24.999602053837638	25
279	185.77548873352836	24.950973478947404	25
280	186.4685713301658	24.99950511145813	25
281	187.16300202770628	24.999614401416565	25
282	187.85743576107896	24.99846176855638	25
283	188.55183747687218	24.884676564764966	25
284	189.2430784925601	24.74811314377823	25
285	189.93052607988727	24.999749043275994	25
286	190.6249635533116	25.04248832818918	25
287	191.32058822909462	25.0009474946208	25
288	192.0150589928341	24.99914383386087	25
289	192.7094796548858	25.00129366823741	25
290	193.40396003455905	24.99789841339012	25
291	194.09834610159766	25.09059545225181	25
292	194.79530708638242	25.051980400378177	25
293	195.49119543083737	24.994239233219968	25
294	196.18547985398237	24.73704123869481	25
295	196.87261988839057	24.485523219481088	25
296	197.55277331115394	24.575496000852542	25
297	198.2354259778443	24.689624579528658	25
298	198.9212488828312	22.85362457952866	25
299	199.55607178781813	21.01762457952866	25
300	200.13989469280503	19.18167570690164	10
301	200.67271901799674	17.345675706901986	10
302	201.15454334318846	15.509675706901998	10
